player,market_value,games_played,minutes_played,total_passes,pass_accuracy,goals,assists,tackles,form_trend,sentiment_positive,sentiment_negative,sentiment_compound,season
AdriÃ¡n MarÃ­n GÃ³mez,,29,90.91666666666669,7,85.71428571428571,0,0,0,42.85714285714285,,,,
Aleix GarcÃ­a Serrano,,77,46.98333333333333,18,83.33333333333334,0,0,2,41.66666666666667,,,,
Alejandro Granell NoguÃ©,,145,71.98333333333333,41,87.8048780487805,0,0,3,43.90243902439025,,,,
Allan Romeo Nyom,,9,93.96666666666668,2,100.0,0,0,0,50.0,,,,
AndrÃ© Miguel Valente Silva,,122,78.98333333333333,24,66.66666666666666,0,0,2,33.33333333333333,,,,
Anuar Mohamed Tuhami,,106,93.95,28,85.71428571428571,0,0,3,42.85714285714285,,,,
Aritz Elustondo Irribaria,,107,92.98333333333332,28,75.0,1,0,4,37.54285714285714,,,,
Arthur Henrique Ramos de Oliveira Melo,,949,91.98333333333332,302,95.03311258278146,0,1,3,47.5832229580574,,,,
Arturo Erasmo Vidal Pardo,,391,94.98333333333332,107,86.91588785046729,1,2,10,43.63413440142412,,,,
Asier Illarramendi Andonegi,,118,81.98333333333333,25,76.0,0,0,5,38.0,,,,
AÃ¯ssa Mandi,,168,94.96666666666668,54,88.88888888888889,0,0,3,44.44444444444444,,,,
Bernardo JosÃ© Espinosa ZÃºÃ±iga,,98,86.96666666666667,28,85.71428571428571,0,0,2,42.85714285714285,,,,
Borja FernÃ¡ndez FernÃ¡ndez,,66,63.95,18,72.22222222222221,0,0,1,36.11111111111111,,,,
Borja GarcÃ­a Freire,,101,91.98333333333332,24,70.83333333333334,0,0,2,35.41666666666667,,,,
Borja GonzÃ¡lez TomÃ¡s,,23,90.86666666666666,6,83.33333333333334,0,0,0,41.66666666666667,,,,
Carles AleÃ±a Castillo,,54,94.98333333333332,16,81.25,0,0,0,40.625,,,,
Carlos Soler BarragÃ¡n,,133,91.98333333333332,25,92.0,0,0,0,46.0,,,,
ClÃ©ment Lenglet,,324,94.98333333333332,102,88.23529411764706,0,0,9,44.11764705882353,,,,
Cristhian Ricardo Stuani Curbelo,,147,93.98333333333332,24,66.66666666666666,2,0,7,33.41904761904762,,,,
Cristian PortuguÃ©s Manzanera,,98,84.98333333333333,13,84.61538461538461,0,0,1,42.30769230769231,,,,
Cristian Tello Herrera,,142,94.98333333333332,40,90.0,0,2,0,45.13333333333333,,,,
Cristiano Piccini,,86,87.98333333333333,25,88.0,0,0,1,44.0,,,,
Daniel Alejandro Torres Rojas,,56,67.9,16,75.0,0,0,3,37.5,,,,
Daniel Filipe Martins CarriÃ§o,,108,91.98333333333332,29,93.10344827586206,0,0,4,46.55172413793103,,,,
Daniel Parejo MuÃ±oz,,188,91.98333333333332,53,88.67924528301887,0,0,2,44.33962264150943,,,,
